Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration
VIC,AusNet,"27/04/2023 06:00
Thursday","27/04/2023 18:30
Thursday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
12.5 Hours",#REF!,12.5 Hours
QLD,Powerlink,"27/04/2023 07:00
Thursday","27/04/2023 16:00
Thursday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours
NSW,Transgrid,"27/04/2023 07:00
Thursday","27/04/2023 17:00
Thursday",Muswellbrook - Tamworth (88) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 3 hrs-Night: 1 hr,Planned - MTLTP,"Planned - MTLTP
",,,,,,"NSW / QLD
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"28/04/2023 06:00
Friday","28/04/2023 18:30
Friday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
12.5 Hours",#REF!,12.5 Hours
QLD,Powerlink,"28/04/2023 07:00
Friday","28/04/2023 16:00
Friday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours
NSW,Transgrid,"28/04/2023 07:00
Friday","28/04/2023 17:00
Friday",Muswellbrook - Tamworth (88) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 3 hrs-Night: 1 hr,Planned - MTLTP,"Planned - MTLTP
",,,,,,"NSW / QLD
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"29/04/2023 06:00
Saturday","29/04/2023 18:30
Saturday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"30/04/2023 07:00
Sunday","30/04/2023 17:00
Sunday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"01/05/2023 07:00
Monday","01/05/2023 17:00
Monday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"02/05/2023 07:00
Tuesday","02/05/2023 17:00
Tuesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
10 Hours",#REF!,10 Hours
QLD,Powerlink,"02/05/2023 07:00
Tuesday","02/05/2023 16:00
Tuesday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours
VIC,AusNet,"03/05/2023 07:00
Wednesday","03/05/2023 17:00
Wednesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
10 Hours",#REF!,10 Hours
QLD,Powerlink,"03/05/2023 07:00
Wednesday","03/05/2023 16:00
Wednesday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours
VIC,AusNet,"04/05/2023 07:00
Thursday","04/05/2023 17:00
Thursday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"VIC
Maintenance
10 Hours",#REF!,10 Hours
QLD,Powerlink,"04/05/2023 07:00
Thursday","04/05/2023 16:00
Thursday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
9 Hours",#REF!,9 Hours
VIC,AusNet,"05/05/2023 07:00
Friday","05/05/2023 17:00
Friday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"VIC
Maintenance
10 Hours",#REF!,10 Hours
QLD,Powerlink,"05/05/2023 07:00
Friday","05/05/2023 16:00
Friday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
9 Hours",#REF!,9 Hours
QLD,Powerlink,"09/05/2023 07:00
Tuesday","09/06/2023 17:00
Friday",Nebo - Strathmore (878) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Commissioning
31.4 Days",#REF!,31.4 Days
VIC,AusNet,"10/05/2023 06:00
Wednesday","10/05/2023 18:30
Wednesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"VIC
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"11/05/2023 06:00
Thursday","11/05/2023 18:30
Thursday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"VIC
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"12/05/2023 06:00
Friday","12/05/2023 18:30
Friday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"VIC
Maintenance
12.5 Hours",#REF!,12.5 Hours
QLD,Powerlink,"14/05/2023 08:30
Sunday","19/05/2023 16:00
Friday",Ross No.2 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 4 hrs-Night: 7 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"QLD
Maintenance
5.3 Days",#REF!,5.3 Days
VIC,AusNet,"15/05/2023 07:00
Monday","15/05/2023 17:00
Monday",Hazelwood - Loy Yang Power Station No.2 500 kV Line,"A credible contingency event during this planned outage could cause:
• A large reduction in generation in Victoria
• Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"16/05/2023 06:00
Tuesday","18/05/2023 18:30
Thursday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 0 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"VIC / SA
Maintenance
2.5 Days",#REF!,2.5 Days
VIC,AusNet,"16/05/2023 07:00
Tuesday","16/05/2023 17:00
Tuesday",Hazelwood - Loy Yang Power Station No.2 500 kV Line,"A credible contingency event during this planned outage could cause:
• A large reduction in generation in Victoria
• Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"17/05/2023 07:30
Wednesday","17/05/2023 16:00
Wednesday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"A credible contingency event during this planned outage could cause:
• A large reduction in generation in Victoria
• Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
8.5 Hours",#REF!,8.5 Hours
VIC,AusNet,"18/05/2023 07:30
Thursday","18/05/2023 16:00
Thursday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"A credible contingency event during this planned outage could cause:
• A large reduction in generation in Victoria
• Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
8.5 Hours",#REF!,8.5 Hours
NSW,Transgrid,"19/05/2023 07:00
Friday","21/05/2023 17:00
Sunday",Jindera - Wagga (62) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 6 hrs-Night: 6 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"NSW/ VIC
Commissioning
2.4 Days",#REF!,2.4 Days
VIC,AusNet,"23/05/2023 06:00
Tuesday","23/05/2023 18:30
Tuesday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"23/05/2023 07:00
Tuesday","23/05/2023 16:00
Tuesday",Hazelwood - Loy Yang Power Station No.2 500 kV Line,"A credible contingency event during this planned outage could cause:
• A large reduction in generation in Victoria
• Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
9 Hours",#REF!,9 Hours
VIC,AusNet,"24/05/2023 06:00
Wednesday","24/05/2023 18:30
Wednesday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"24/05/2023 06:30
Wednesday","24/05/2023 17:00
Wednesday",Keilor – Sydenham 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours
VIC,AusNet,"25/05/2023 06:00
Thursday","25/05/2023 18:30
Thursday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"25/05/2023 06:30
Thursday","25/05/2023 17:00
Thursday",Keilor – Sydenham 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours
VIC,AusNet,"26/05/2023 06:00
Friday","26/05/2023 18:30
Friday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"29/05/2023 07:00
Monday","29/05/2023 17:00
Monday",Ballarat - Waubra 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C 
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"29/05/2023 07:30
Monday","29/05/2023 16:30
Monday",Ballarat - Waubra 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C 
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"VIC
Maintenance
9 Hours",#REF!,9 Hours
SA,ElectraNet,"29/05/2023 08:00
Monday","04/06/2023 17:30
Sunday",Cherry Gardens - Tailem Bend 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 16 hrs-Night: 24 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"SA
Maintenance
6.4 Days",#REF!,6.4 Days
TAS,TasNetworks,"31/05/2023 08:30
Wednesday","31/05/2023 16:20
Wednesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
7.8 Hours",#REF!,7.8 Hours
SA,ElectraNet,"01/06/2023 08:00
Thursday","05/06/2023 08:00
Monday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"VIC / SA
Commissioning
4 Days",#REF!,4 Days
TAS,TasNetworks,"01/06/2023 08:30
Thursday","01/06/2023 16:20
Thursday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
7.8 Hours",#REF!,7.8 Hours
TAS,TasNetworks,"02/06/2023 15:00
Friday","02/06/2023 16:00
Friday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Commissioning
60 Minutes",#REF!,60 Minutes
QLD,Powerlink,"02/06/2023 16:01
Friday","09/06/2023 07:59
Friday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 0 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"QLD
Commissioning
6.7 Days",#REF!,6.7 Days
SA,ElectraNet,"04/06/2023 17:30
Sunday","19/06/2023 17:30
Monday",Cherry Gardens - Tailem Bend 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 16 hrs-Night: 24 hrs,Planned - SUBMIT,"Planned - SUBMIT
",T,,,,,"
Maintenance
15 Days",#REF!,15 Days
SA,ElectraNet,"05/06/2023 08:00
Monday","07/06/2023 13:30
Wednesday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"VIC / SA
Commissioning
2.2 Days",#REF!,2.2 Days
QLD,Powerlink,"09/06/2023 08:00
Friday","20/06/2023 16:00
Tuesday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 0 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"QLD
Commissioning
11.3 Days",#REF!,11.3 Days
QLD,Powerlink,"10/06/2023 08:00
Saturday","10/06/2023 16:00
Saturday",Strathmore - Ross (8858) 275 kV Line,"<<NEW since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 3 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,,"QLD
Commissioning
8 Hours",#REF!,8 Hours
VIC,AusNet,"12/06/2023 06:00
Monday","12/06/2023 18:30
Monday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours
