Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
QLD,Powerlink,"29/04/2022 07:00
Friday","29/04/2022 16:00
Friday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,,"QLD
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
QLD,Powerlink,"05/05/2022 08:30
Thursday","05/05/2022 16:30
Thursday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 3 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,,,"QLD
Maintenance
8 Hours",#REF!,8 Hours,,,,,,,
QLD,Powerlink,"09/05/2022 07:00
Monday","13/05/2022 17:00
Friday",Bouldercombe - Nebo (821) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 6 hrs-Night: 8 hrs,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,,,"QLD
Commissioning
4.4 Days",#REF!,4.4 Days,,,,,,,
QLD,Powerlink,"12/05/2022 08:00
Thursday","12/05/2022 15:00
Thursday",Strathmore No.1 275/132 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"QLD
Commissioning
7 Hours",#REF!,7 Hours,,,,,,,
VIC,AusNet,"16/05/2022 07:00
Monday","16/05/2022 17:30
Monday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"17/05/2022 07:00
Tuesday","17/05/2022 17:30
Tuesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
TAS,TasNetworks,"17/05/2022 07:30
Tuesday","17/05/2022 16:30
Tuesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
VIC,AusNet,"18/05/2022 07:00
Wednesday","18/05/2022 17:30
Wednesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
TAS,TasNetworks,"18/05/2022 07:30
Wednesday","18/05/2022 16:30
Wednesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
VIC,AusNet,"19/05/2022 07:00
Thursday","19/05/2022 17:30
Thursday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"24/05/2022 06:30
Tuesday","24/05/2022 18:00
Tuesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC / SA
Maintenance
11.5 Hours",#REF!,11.5 Hours,,,,,,,
VIC,AusNet,"24/05/2022 06:30
Tuesday","24/05/2022 17:00
Tuesday",Rowville - South Morang 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
QLD,Powerlink,"24/05/2022 07:00
Tuesday","03/06/2022 17:00
Friday",Bouldercombe - Broadsound (820) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 120 hrs-Night: 120 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
10.4 Days",#REF!,10.4 Days,,,,,,,
VIC,AusNet,"27/05/2022 07:00
Friday","27/05/2022 12:00
Friday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
5 Hours",#REF!,5 Hours,,,,,,,
QLD,Powerlink,"30/05/2022 07:00
Monday","17/06/2022 17:00
Friday",Nebo - Broadsound (8846) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
18.4 Days",#REF!,18.4 Days,,,,,,,
VIC,AusNet,"30/05/2022 07:00
Monday","30/05/2022 17:30
Monday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC / SA
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"31/05/2022 07:00
Tuesday","31/05/2022 17:30
Tuesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC / SA
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
SA,ElectraNet,"06/06/2022 12:30
Monday","08/06/2022 17:30
Wednesday",Tailem Bend - South East  No.2 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"SA
Commissioning
2.2 Days",#REF!,2.2 Days,,,,,,,
VIC,AusNet,"08/06/2022 06:30
Wednesday","08/06/2022 19:30
Wednesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
QLD,Powerlink,"08/06/2022 07:00
Wednesday","08/06/2022 17:00
Wednesday",Haughton River - Strathmore (879) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 2 hrs-Night: 2 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"09/06/2022 06:30
Thursday","09/06/2022 19:30
Thursday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
VIC,AusNet,"10/06/2022 06:30
Friday","10/06/2022 19:30
Friday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
VIC,AusNet,"13/06/2022 07:00
Monday","13/06/2022 17:30
Monday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"14/06/2022 07:00
Tuesday","14/06/2022 17:30
Tuesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"15/06/2022 06:30
Wednesday","16/06/2022 19:30
Thursday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
1.5 Days",#REF!,1.5 Days,,,,,,,
SA,ElectraNet,"17/06/2022 08:00
Friday","23/06/2022 08:15
Thursday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"VIC / SA
Commissioning
6 Days",#REF!,6 Days,,,,,,,
QLD,Powerlink,"22/06/2022 09:00
Wednesday","22/06/2022 10:00
Wednesday",Ross No.2 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 5 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
60 Minutes",#REF!,60 Minutes,,,,,,,
SA,ElectraNet,"23/06/2022 08:15
Thursday","25/06/2022 13:30
Saturday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"VIC / SA
Commissioning
2.2 Days",#REF!,2.2 Days,,,,,,,
SA,ElectraNet,"27/06/2022 09:00
Monday","27/06/2022 15:15
Monday",Cherry Gardens - Tailem Bend 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"SA
Maintenance
6.2 Hours",#REF!,6.2 Hours,,,,,,,
SA,ElectraNet,"28/06/2022 09:00
Tuesday","28/06/2022 15:15
Tuesday",Cherry Gardens - Tailem Bend 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"SA
Maintenance
6.2 Hours",#REF!,6.2 Hours,,,,,,,
SA,ElectraNet,"04/07/2022 08:00
Monday","08/07/2022 08:00
Friday",Heywood - South East No.2 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"VIC / SA
Commissioning
4 Days",#REF!,4 Days,,,,,,,
VIC,AusNet,"05/07/2022 06:30
Tuesday","05/07/2022 19:30
Tuesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
VIC,AusNet,"06/07/2022 06:30
Wednesday","06/07/2022 19:30
Wednesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
QLD,Powerlink,"06/07/2022 08:30
Wednesday","13/07/2022 14:30
Wednesday",Ross No.2 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 12 hrs-Night: 16 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
7.3 Days",#REF!,7.3 Days,,,,,,,
VIC,AusNet,"07/07/2022 06:30
Thursday","07/07/2022 19:30
Thursday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
VIC,AusNet,"08/07/2022 06:30
Friday","08/07/2022 19:30
Friday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
SA,ElectraNet,"08/07/2022 08:00
Friday","10/07/2022 17:30
Sunday",Heywood - South East No.2 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"
Commissioning
2.4 Days",#REF!,2.4 Days,,,,,,,
QLD,Powerlink,"10/07/2022 08:30
Sunday","10/07/2022 14:30
Sunday",Haughton River - Ross (8911) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 1.5 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
6 Hours",#REF!,6 Hours,,,,,,,
SA,ElectraNet,"12/07/2022 08:00
Tuesday","17/07/2022 08:00
Sunday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,T,"SA
Commissioning
5 Days",#REF!,5 Days,,,,,,,
QLD,Powerlink,"13/07/2022 09:00
Wednesday","13/07/2022 17:00
Wednesday",Ross No.2 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 3 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"QLD
Maintenance
8 Hours",#REF!,8 Hours,,,,,,,
SA,ElectraNet,"17/07/2022 08:00
Sunday","19/07/2022 12:30
Tuesday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,T,"SA
Commissioning
2.2 Days",#REF!,2.2 Days,,,,,,,
QLD,Powerlink,"19/07/2022 09:00
Tuesday","19/07/2022 14:00
Tuesday",Nebo - Strathmore (8845) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
5 Hours",#REF!,5 Hours,,,,,,,
SA,ElectraNet,"19/07/2022 12:30
Tuesday","21/07/2022 17:30
Thursday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"SA
Commissioning
2.2 Days",#REF!,2.2 Days,,,,,,,
SA,ElectraNet,"01/08/2022 08:00
Monday","12/08/2022 17:30
Friday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 120 hrs-Night: 120 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"VIC / SA
Maintenance
11.4 Days",#REF!,11.4 Days,,,,,,,
QLD,Powerlink,"02/08/2022 07:00
Tuesday","22/08/2022 17:00
Monday",Nebo - Strathmore (8845) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
20.4 Days",#REF!,20.4 Days,,,,,,,
