Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Reason and
Duration",Duration,,,,,,,
VIC,AusNet,"10/05/2022 07:00
Tuesday","10/05/2022 16:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
QLD,Powerlink,"10/05/2022 07:00
Tuesday","12/05/2022 17:00
Thursday",Bouldercombe - Nebo (821) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ","Day: 6 hrs
Night: 8 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
2.4 Days",2.4 Days,,,,,,,
VIC,AusNet,"11/05/2022 07:00
Wednesday","11/05/2022 16:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"12/05/2022 07:00
Thursday","12/05/2022 16:00
Thursday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
QLD,Powerlink,"12/05/2022 08:00
Thursday","12/05/2022 15:00
Thursday",Strathmore No.1 275/132 kV Transformer,"<<NEW since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ","Day: 2 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"Commissioning
7 Hours",7 Hours,,,,,,,
VIC,AusNet,"13/05/2022 07:00
Friday","13/05/2022 16:00
Friday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"17/05/2022 07:00
Tuesday","17/05/2022 16:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
QLD,Powerlink,"24/05/2022 07:00
Tuesday","03/06/2022 17:00
Friday",Bouldercombe - Broadsound (820) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ","Day: 120 hrs
Night: 120 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
10.4 Days",10.4 Days,,,,,,,
QLD,Powerlink,"30/05/2022 07:00
Monday","17/06/2022 17:00
Friday",Nebo - Broadsound (8846) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ","Day: NA
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
18.4 Days",18.4 Days,,,,,,,
VIC,AusNet,"31/05/2022 07:00
Tuesday","31/05/2022 16:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
SA,ElectraNet,"06/06/2022 12:30
Monday","08/06/2022 17:30
Wednesday",Tailem Bend - South East  No.2 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ","Day: 159 hrs
Night: 159 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
2.2 Days",2.2 Days,,,,,,,
SA,ElectraNet,"17/06/2022 08:00
Friday","23/06/2022 08:15
Thursday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.","Day: 159 hrs
Night: 159 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"Commissioning
6 Days",6 Days,,,,,,,
SA,ElectraNet,"23/06/2022 08:15
Thursday","25/06/2022 13:30
Saturday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.","Day: 159 hrs
Night: 159 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"Commissioning
2.2 Days",2.2 Days,,,,,,,
SA,ElectraNet,"02/07/2022 08:00
Saturday","06/07/2022 08:00
Wednesday",Heywood - South East No.2 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.","Day: 159 hrs
Night: 159 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"Commissioning
4 Days",4 Days,,,,,,,
SA,ElectraNet,"06/07/2022 08:00
Wednesday","09/07/2022 17:30
Saturday",Heywood - South East No.2 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.","Day: 159 hrs
Night: 159 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"Commissioning
3.4 Days",3.4 Days,,,,,,,
SA,ElectraNet,"12/07/2022 08:00
Tuesday","17/07/2022 08:00
Sunday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ","Day: 159 hrs
Night: 159 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,T,,T,"Commissioning
5 Days",5 Days,,,,,,,
SA,ElectraNet,"17/07/2022 08:00
Sunday","19/07/2022 12:30
Tuesday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ","Day: 159 hrs
Night: 159 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,T,,T,"Commissioning
2.2 Days",2.2 Days,,,,,,,
SA,ElectraNet,"19/07/2022 12:30
Tuesday","21/07/2022 17:30
Thursday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ","Day: 159 hrs
Night: 159 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"Commissioning
2.2 Days",2.2 Days,,,,,,,
