Region,NSP,Start,Finish,Network Asset,Recall_Day_Hours,Recall_Night_Hours,Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,Status_Description,Status_Code,Reason,Duration_Hours,Impact,file_name,Asset Type
VIC,AusNet,2025-01-22 07:00:00,2025-01-22 17:00:00,MooraboolSydenham No.2 500 kV Line,4,0,0,0,0,0,0,Planned,RESUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2025-05-02 07:00:00,2025-05-07 18:00:00,South Morang - Sydenham No.2 500 kV Line,120,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,132.0,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW  A credible contingency event during this planned outage could:    Cause a large reduction in generation in Victoria   Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",2024-08-26,Line
VIC,AusNet,2024-10-15 06:00:00,2024-10-15 16:00:00,Heywood - Mortlake 500 kV Line,2,0,1,0,0,1,1,Planned,SUBMIT,Maintenance,10.0,<<NEW since the last notification>>  A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-03-19 06:00:00,2025-03-19 17:00:00,MooraboolSydenham No.1 500 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,11.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2025-09-01 07:00:00,2025-09-06 17:00:00,MooraboolSydenham No.2 500 kV Line,120,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,129.6,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
SA,ElectraNet,2025-07-14 07:30:00,2025-07-20 19:30:00,Heywood - South East No.1 275 kV Line,6,12,0,0,0,0,1,Planned,SUBMIT,Maintenance,156.0,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2024-11-28 05:00:00,2024-11-28 17:00:00,Red Cliffs-Wemen 220 kV Line,0,0,1,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-03-04 05:00:00,2025-03-04 17:00:00,Kiamal SF-Red Cliffs 220 kV LINE,3,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-06-20 07:00:00,2025-06-20 17:00:00,Kiamal SF-Red Cliffs 220 kV LINE,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-01-20 06:00:00,2025-01-20 16:00:00,MooraboolSydenham No.2 500 kV Line,4,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
SA,ElectraNet,2026-06-29 07:30:00,2026-07-05 17:30:00,Tailem Bend - South East  No.1 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
QLD,Powerlink,2025-08-19 08:00:00,2025-11-24 07:59:00,Nebo - Strathmore (822) 275 kV Line,0,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,2328.0,This is a high impact outage because the recall time is greater than 30 minutes.  A credible contingency event during this planned outage may require market intervention through issuing of directions. ,2024-08-26,Line
VIC,AusNet,2025-01-04 06:00:00,2025-01-04 16:00:00,Crowland - Bulgana 220 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
SA,ElectraNet,2026-07-13 07:30:00,2026-07-19 19:30:00,Heywood - South East No.1 275 kV Line,6,12,0,0,0,0,1,Planned,SUBMIT,Maintenance,156.0,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-01-04 06:00:00,2025-01-04 16:00:00,Bulgana - Horsham 220 kV Line,2,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
SA,ElectraNet,2030-07-22 07:30:00,2030-07-28 17:30:00,Heywood - South East No.2 275 kV Line,6,12,0,0,0,0,1,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2024-10-07 06:00:00,2024-10-07 16:00:00,MooraboolSydenham No.2 500 kV Line,4,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
SA,ElectraNet,2026-07-06 07:30:00,2026-07-12 17:30:00,Tailem Bend - South East  No.2 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
SA,ElectraNet,2030-07-01 07:30:00,2030-07-07 17:30:00,Tailem Bend - South East  No.1 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-03-28 06:00:00,2025-03-28 18:00:00,Kiamal SF-Red Cliffs 220 kV LINE,3,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
TAS,TasNetworks,2025-02-24 07:00:00,2025-02-24 11:00:00,Sheffield - Farrell No.2 220 kV Line,1,0,0,0,0,1,0,Planned,SUBMIT,Commissioning,4.0,<<NEW since the last notification>>  A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,2024-08-26,Line
VIC,AusNet,2025-03-22 06:00:00,2025-03-22 17:00:00,MooraboolSydenham No.2 500 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,11.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2025-02-04 06:00:00,2025-02-04 16:00:00,Crowland - Bulgana 220 kV Line,2,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2024-12-13 05:00:00,2024-12-13 17:00:00,Kerang-Wemen 220 kV Line,5,0,1,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
QLD,Powerlink,2024-11-25 08:00:00,2024-11-29 17:00:00,Nebo - Strathmore (822) 275 kV Line,48,48,0,0,1,0,0,Planned,SUBMIT,Maintenance,105.6,This is a high impact outage because the recall time is greater than 30 minutes.  A credible contingency event during this planned outage may require market intervention through issuing of directions. ,2024-08-26,Line
VIC,AusNet,2025-02-23 06:00:00,2025-02-23 18:00:00,MooraboolSydenham No.1 500 kV Line,4,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2025-06-22 07:00:00,2025-06-22 17:00:00,Buronga - Redcliffs (OX1) 220 kV Line.,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
SA,ElectraNet,2029-07-30 07:30:00,2029-08-05 17:30:00,Tailem Bend - Tungkillo No.1 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
SA,ElectraNet,2026-07-27 07:30:00,2026-08-02 17:30:00,Tailem Bend - Tungkillo No.1 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
QLD,Powerlink,2025-05-20 07:00:00,2025-05-27 17:00:00,Bouldercombe - Broadsound (820) 275 kV Line,5,3,0,0,0,0,0,Planned,SUBMIT,Commissioning,177.6,<<NEW since the last notification>>  This is a high impact outage because the recall time is greater than 30 minutes.  A credible contingency event during this planned outage may require market intervention through issuing of directions. ,2024-08-26,Line
TAS,TasNetworks,2024-12-19 13:00:00,2024-12-19 15:30:00,Gordon - Chapel St No.2 220 kV Line,1,0,0,0,0,1,0,Planned,RESUBMIT,Commissioning,2.5,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,2024-08-26,Line
VIC,AusNet,2025-03-27 06:00:00,2025-03-28 16:00:00,Rowville - South Morang 500 kV Line,2,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,33.6,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW  A credible contingency event during this planned outage could:    Cause a large reduction in generation in Victoria   Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",2024-08-26,Line
VIC,AusNet,2024-12-06 05:00:00,2024-12-06 17:00:00,Kerang-Wemen 220 kV Line,8,0,1,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
SA,ElectraNet,2026-07-20 07:30:00,2026-07-26 17:30:00,Heywood - South East No.2 275 kV Line,6,12,0,0,0,0,1,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2024-11-23 06:00:00,2024-11-24 16:00:00,Haunted Gully - Tarrone 500 Kv line,1,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,33.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-03-07 05:00:00,2025-03-07 17:00:00,Kiamal SF-Red Cliffs 220 kV LINE,3,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
QLD,Powerlink,2024-09-11 08:00:00,2024-09-11 17:00:00,Stanwell - Broadsound (856) 275 kV Line,3,0,0,0,0,1,0,Withdraw Requested,,Maintenance,9.0,<<This outage has been WITHDRAWN!>>  This is a high impact outage because the recall time is greater than 30 minutes.  A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.    Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk,2024-08-26,Line
QLD,Powerlink,2024-09-14 08:00:00,2024-09-14 17:00:00,Stanwell - Broadsound (856) 275 kV Line,1,0,0,0,0,0,0,Planned,SUBMIT,Commissioning,9.0,<<NEW since the last notification>>  This is a high impact outage because the recall time is greater than 30 minutes.  A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.    Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk,2024-08-26,Line
VIC,AusNet,2024-08-29 06:00:00,2024-08-29 18:00:00,Kerang-Wemen 220 kV Line,3,0,1,0,1,1,1,Planned,MTLTP,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2024-11-21 06:00:00,2024-11-22 16:00:00,Haunted Gully - Tarrone 500 Kv line,1,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,33.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-02-03 07:00:00,2025-02-03 17:00:00,MooraboolSydenham No.2 500 kV Line,4,0,0,0,0,0,0,Planned,RESUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2025-02-03 06:00:00,2025-02-03 16:00:00,MooraboolSydenham No.2 500 kV Line,4,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2025-03-21 06:00:00,2025-03-21 17:00:00,MooraboolSydenham No.2 500 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,11.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
TAS,TasNetworks,2024-11-05 11:00:00,2024-11-05 13:00:00,Gordon - Chapel St No.1 220 kV Line,1,0,0,0,0,1,0,Planned,RESUBMIT,Maintenance,2.0,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,2024-08-26,Line
TAS,TasNetworks,2024-12-18 11:00:00,2024-12-18 13:00:00,Gordon - Chapel St No.2 220 kV Line,2,0,0,0,0,1,0,Planned,SUBMIT,Commissioning,2.0,<<NEW since the last notification>>  A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,2024-08-26,Line
SA,ElectraNet,2027-07-12 07:30:00,2027-07-18 19:30:00,Heywood - South East No.1 275 kV Line,6,12,0,0,0,0,1,Planned,SUBMIT,Maintenance,156.0,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
QLD,Powerlink,2025-03-07 17:01:00,2025-08-19 07:59:00,Nebo - Strathmore (822) 275 kV Line,0,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,3950.4,This is a high impact outage because the recall time is greater than 30 minutes.  A credible contingency event during this planned outage may require market intervention through issuing of directions. ,2024-08-26,Line
SA,ElectraNet,2025-08-04 07:30:00,2025-08-10 17:30:00,Tailem Bend - Tungkillo No.2 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-05-20 07:00:00,2025-05-20 17:00:00,Ballarat - Waubra 220 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
SA,ElectraNet,2027-08-02 07:30:00,2027-08-08 17:30:00,Tailem Bend - Tungkillo No.2 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2024-12-31 06:00:00,2024-12-31 17:00:00,Kiamal SF - MurraWarra 220 kV Line,2,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,11.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-05-21 07:00:00,2025-05-21 17:00:00,Ballarat - Waubra 220 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
SA,ElectraNet,2025-07-07 07:30:00,2025-07-13 17:30:00,Tailem Bend - South East  No.2 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
SA,ElectraNet,2030-07-15 07:30:00,2030-07-21 19:30:00,Heywood - South East No.1 275 kV Line,6,12,0,0,0,0,1,Planned,SUBMIT,Maintenance,156.0,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2024-11-12 06:00:00,2024-11-12 16:00:00,Ararat - Crowlands 220kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2024-11-14 06:00:00,2024-11-14 16:00:00,Moorabool - Mortlake 500 kV Line,2,0,0,0,0,0,0,Withdrawn,,Maintenance,10.0,<<This outage has been WITHDRAWN!>>  A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2024-12-12 06:00:00,2024-12-12 16:00:00,Haunted Gully - Tarrone 500 Kv line,2,0,1,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2024-12-09 06:00:00,2024-12-09 16:00:00,Kiamal SF - MurraWarra 220 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2024-12-09 06:00:00,2024-12-09 16:00:00,MooraboolSydenham No.2 500 kV Line,4,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2024-11-18 06:00:00,2024-11-18 16:00:00,MooraboolSydenham No.2 500 kV Line,4,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2025-03-24 05:00:00,2025-03-24 17:00:00,Kiamal SF-Red Cliffs 220 kV LINE,3,0,1,0,0,0,0,Planned,RESUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-05-20 07:00:00,2025-05-20 17:00:00,Bendigo - Kerang 220 kV Line,2,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-04-28 07:00:00,2025-04-30 18:00:00,South Morang - Sydenham No.2 500 kV Line,24,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,60.0,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW  A credible contingency event during this planned outage could:    Cause a large reduction in generation in Victoria   Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",2024-08-26,Line
VIC,AusNet,2025-03-23 05:00:00,2025-03-23 17:00:00,Kiamal SF-Red Cliffs 220 kV LINE,3,0,1,0,0,0,0,Planned,RESUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-04-06 07:00:00,2025-04-08 18:00:00,South Morang - Sydenham No.1 500 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,60.0,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW  A credible contingency event during this planned outage could:    Cause a large reduction in generation in Victoria   Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",2024-08-26,Line
SA,ElectraNet,2025-06-30 07:30:00,2025-07-06 17:30:00,Tailem Bend - South East  No.1 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-07-15 07:00:00,2025-07-20 17:00:00,MooraboolSydenham No.1 500 kV Line,120,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,129.6,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2024-11-25 06:00:00,2024-11-25 16:00:00,MooraboolSydenham No.2 500 kV Line,4,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2024-08-27 06:30:00,2024-08-27 17:30:00,Red Cliffs No.2 220 kV Bus,2,0,1,0,1,1,1,Planned,SUBMIT,Maintenance,11.0,"<<NEW since the last notification>>  This bus outage offloads Red Cliffs - Kiamal 220kV line, and Red Cliffs capacitor banks will be unavailable for automatic switching.  A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.",2024-08-26,Bus
