Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Reason and
Duration",Duration
VIC,AusNet,"11/09/2021 07:00
Saturday","11/09/2021 17:00
Saturday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause:
? A large reduction in generation in Victoria
? Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
10 Hours",10 Hours
NSW,Transgrid,"12/09/2021 06:00
Sunday","14/09/2021 12:00
Tuesday",Dumaresq - Bulli Creek (8L) 330 kV Line,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM 
? Large reduction in generation in NSW if exporting.",Day: 8 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,,,T,"Commissioning
2.3 Days",2.3 Days
QLD,Powerlink,"12/09/2021 06:00
Sunday","14/09/2021 12:00
Tuesday",Dumaresq - Bulli Creek (8L) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM 
? Large reduction in generation in NSW if exporting.",Day: 3 hrs-Night: 3 hrs,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,,,"Commissioning
2.3 Days",2.3 Days
VIC,AusNet,"12/09/2021 07:00
Sunday","12/09/2021 17:00
Sunday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause:
? A large reduction in generation in Victoria
? Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"Maintenance
10 Hours",10 Hours
SA,ElectraNet,"12/09/2021 08:15
Sunday","14/09/2021 13:30
Tuesday",Heywood - South East No.1 275 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Withdrawn,"Withdrawn
",,,,,T,"Commissioning
2.2 Days",2.2 Days
QLD,Powerlink,"14/09/2021 08:30
Tuesday","17/09/2021 16:00
Friday",Ross No.2 288/138/19 kV Transformer,"<<This outage has been WITHDRAWN!>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 12 hrs-Night: 16 hrs,Withdrawn,"Withdrawn
",,,,,,"Maintenance
3.3 Days",3.3 Days
VIC,AusNet,"17/09/2021 06:30
Friday","17/09/2021 19:00
Friday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours
NSW,Transgrid,"17/09/2021 06:30
Friday","17/09/2021 19:00
Friday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours
VIC,AusNet,"18/09/2021 06:30
Saturday","18/09/2021 19:00
Saturday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours
NSW,Transgrid,"18/09/2021 06:30
Saturday","18/09/2021 19:00
Saturday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours
VIC,AusNet,"19/09/2021 06:30
Sunday","19/09/2021 19:00
Sunday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours
NSW,Transgrid,"19/09/2021 06:30
Sunday","19/09/2021 19:00
Sunday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours
NSW,Transgrid,"19/09/2021 07:30
Sunday","19/09/2021 18:00
Sunday",Armidale - Tamworth (85) 330 kV Line,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,,,,"Commissioning
10.5 Hours",10.5 Hours
NSW,Transgrid,"19/09/2021 07:30
Sunday","19/09/2021 18:00
Sunday",Tamworth No.3 330 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"Commissioning
10.5 Hours",10.5 Hours
NSW,Transgrid,"20/09/2021 06:00
Monday","20/09/2021 18:00
Monday",Tamworth No.3 330 kV Bus,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"Commissioning
12 Hours",12 Hours
VIC,AusNet,"20/09/2021 06:30
Monday","20/09/2021 19:00
Monday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours
NSW,Transgrid,"20/09/2021 06:30
Monday","20/09/2021 19:00
Monday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours
NSW,Transgrid,"21/09/2021 06:00
Tuesday","21/09/2021 18:00
Tuesday",Tamworth No.3 330 kV Bus,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"Commissioning
12 Hours",12 Hours
VIC,AusNet,"21/09/2021 07:00
Tuesday","21/09/2021 19:00
Tuesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
12 Hours",12 Hours
VIC,TOA,"21/09/2021 07:00
Tuesday","21/09/2021 17:00
Tuesday",Ararat - Crowland 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2.5 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",T,,T,T,T,"Maintenance
10 Hours",10 Hours
NSW,Transgrid,"22/09/2021 06:00
Wednesday","22/09/2021 18:00
Wednesday",Tamworth No.3 330 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: 4 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"Commissioning
12 Hours",12 Hours
VIC,AusNet,"22/09/2021 07:00
Wednesday","22/09/2021 19:00
Wednesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
12 Hours",12 Hours
VIC,TOA,"22/09/2021 07:00
Wednesday","22/09/2021 17:00
Wednesday",Ararat - Crowland 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",T,,T,T,T,"Maintenance
10 Hours",10 Hours
NSW,Transgrid,"23/09/2021 06:00
Thursday","27/09/2021 12:00
Monday",Dumaresq - Sapphire 330 kV line,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 8 hrs-Night: 8 hrs,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Commissioning
4.3 Days",4.3 Days
VIC,AusNet,"23/09/2021 07:00
Thursday","23/09/2021 19:00
Thursday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
12 Hours",12 Hours
VIC,AusNet,"28/09/2021 06:45
Tuesday","28/09/2021 17:00
Tuesday",Hazelwood - South Morang No.2 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
10.3 Hours",10.3 Hours
NSW,Transgrid,"28/09/2021 08:00
Tuesday","28/09/2021 17:00
Tuesday",Tamworth Liddell PS (84) 330 kV Line,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,,,,"Commissioning
9 Hours",9 Hours
VIC,AusNet,"29/09/2021 07:00
Wednesday","29/09/2021 19:00
Wednesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
12 Hours",12 Hours
NSW,Transgrid,"29/09/2021 08:00
Wednesday","29/09/2021 18:00
Wednesday",Armidale - Tamworth (86) 330 kV Line,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,,,,"Commissioning
10 Hours",10 Hours
NSW,Transgrid,"30/09/2021 06:00
Thursday","30/09/2021 18:00
Thursday",Tamworth No.1 330 kV Bus,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"Commissioning
12 Hours",12 Hours
NSW,Transgrid,"30/09/2021 07:30
Thursday","30/09/2021 17:00
Thursday",Armidale - Tamworth (86) 330 kV Line,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"Maintenance
9.5 Hours",9.5 Hours
NSW,Transgrid,"01/10/2021 06:00
Friday","01/10/2021 18:00
Friday",Tamworth No.1 330 kV Bus,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: 2 hrs,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"Commissioning
12 Hours",12 Hours
VIC,AusNet,"01/10/2021 06:45
Friday","01/10/2021 17:00
Friday",South Morang - Sydenham No.1 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
? Cause a large reduction in generation in Victoria
? Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
10.3 Hours",10.3 Hours
NSW,Transgrid,"01/10/2021 07:30
Friday","01/10/2021 17:00
Friday",Armidale - Tamworth (86) 330 kV Line,"A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"Maintenance
9.5 Hours",9.5 Hours
TAS,TasNetworks,"04/10/2021 07:00
Monday","04/10/2021 15:00
Monday",Sheffield - Farrell No.2 220 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ",Day: 2 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,T,,"Maintenance
8 Hours",8 Hours
TAS,TasNetworks,"05/10/2021 06:00
Tuesday","05/10/2021 16:00
Tuesday",Sheffield - Farrell No.1 220 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ",Day: 1.5 hrs-Night: NA,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,T,,"Maintenance
10 Hours",10 Hours
SA,ElectraNet,"11/10/2021 07:00
Monday","16/10/2021 07:00
Saturday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
? Initiate the orderly separation of SA from the rest of the NEM.               
? Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"Commissioning
5 Days",5 Days
SA,ElectraNet,"16/10/2021 07:00
Saturday","17/10/2021 11:30
Sunday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
? Initiate the orderly separation of SA from the rest of the NEM.               
? Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"Commissioning
1.2 Days",1.2 Days
SA,ElectraNet,"17/10/2021 11:30
Sunday","19/10/2021 16:30
Tuesday",Tailem Bend - South East  No.1 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
? Initiate the orderly separation of SA from the rest of the NEM.               
? Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"Commissioning
2.2 Days",2.2 Days
VIC,AusNet,"19/10/2021 06:00
Tuesday","19/10/2021 16:00
Tuesday",Keilor ? Sydenham 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
? Cause a large reduction in generation in Victoria
? Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 3 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
10 Hours",10 Hours
QLD,Powerlink,"25/10/2021 07:00
Monday","27/10/2021 14:00
Wednesday",Nebo - Broadsound (8847) 275 kV Line,"<<NEW since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
2.3 Days",2.3 Days
QLD,Powerlink,"27/10/2021 14:01
Wednesday","06/11/2021 17:00
Saturday",Nebo - Broadsound (8847) 275 kV Line,"<<NEW since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
10.1 Days",10.1 Days
NSW,Transgrid,"01/11/2021 05:30
Monday","01/11/2021 16:00
Monday",Wagga - Darlington Point (63) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
?Between Victoria and New South Wales.
?Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Maintenance
10.5 Hours",10.5 Hours
NSW,Transgrid,"01/11/2021 06:00
Monday","06/11/2021 16:00
Saturday",Lower Tumut - Wagga  (051) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
? Between Victoria and New South Wales.
? Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 48 hrs-Night: 48 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Commissioning
5.4 Days",5.4 Days
VIC,AusNet,"04/11/2021 06:00
Thursday","04/11/2021 18:00
Thursday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
12 Hours",12 Hours
VIC,AusNet,"05/11/2021 06:00
Friday","05/11/2021 18:00
Friday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
12 Hours",12 Hours
VIC,AusNet,"06/11/2021 06:00
Saturday","06/11/2021 18:00
Saturday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
12 Hours",12 Hours
QLD,Powerlink,"08/11/2021 14:00
Monday","08/11/2021 15:00
Monday",Ross No.2 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 5 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
60 Minutes",60 Minutes
QLD,Powerlink,"09/11/2021 11:00
Tuesday","09/11/2021 11:30
Tuesday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 5 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
30 Minutes",30 Minutes
QLD,Powerlink,"10/11/2021 10:00
Wednesday","10/11/2021 10:30
Wednesday",Ross No.4 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 5 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
30 Minutes",30 Minutes
TAS,TasNetworks,"16/11/2021 07:00
Tuesday","16/11/2021 15:00
Tuesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"Maintenance
8 Hours",8 Hours
